,timestamp,state,district,market,commodity,variety,arrival_date,min_price,max_price,modal_price
123,1619976905,Punjab,Fazilka,Abohar,Wheat,Other,02/05/2021,1975,1975,1975
124,1619976905,Punjab,Fazilka,Jalalabad,Wheat,Other,02/05/2021,1975,1975,1975
125,1619976905,Punjab,Gurdaspur,Dera Baba Nanak,Pumpkin,Other,02/05/2021,1100,1300,1200
126,1619976905,Punjab,Gurdaspur,Dinanagar,Onion,Other,02/05/2021,1400,1500,1450
127,1619976905,Punjab,Gurdaspur,Kahnuwan,Wheat,147 Average,02/05/2021,1975,1975,1975
128,1619976905,Punjab,kapurthala,Sultanpur,Bhindi(Ladies Finger),Other,02/05/2021,1200,1250,1250
129,1619976905,Punjab,kapurthala,Sultanpur,Bitter gourd,Other,02/05/2021,800,1200,1000
130,1619976905,Punjab,kapurthala,Sultanpur,Cauliflower,Other,02/05/2021,750,1120,1000
131,1619976905,Punjab,kapurthala,Sultanpur,Pumpkin,Other,02/05/2021,500,850,800
132,1619976905,Punjab,kapurthala,Sultanpur,Round gourd,Other,02/05/2021,800,1050,1000
133,1619976905,Punjab,kapurthala,Sultanpur,Tomato,Other,02/05/2021,1200,1600,1500
134,1619976905,Punjab,kapurthala,Sultanpur,Wheat,Other,02/05/2021,1975,1975,1975
135,1619976905,Punjab,Ludhiana,Sahnewal,Wheat,Other,02/05/2021,1975,1975,1975
136,1619976905,Punjab,Mansa,Bareta,Wheat,Other,02/05/2021,1975,1975,1975
137,1619976905,Punjab,Mansa,Bhikhi,Wheat,Other,02/05/2021,1975,1975,1975
138,1619976905,Punjab,Mansa,Boha,Wheat,Other,02/05/2021,1975,1975,1975
139,1619976905,Punjab,Moga,Badhni Kallan (Bilaspur),Wheat,Other,02/05/2021,1975,1975,1975
140,1619976905,Punjab,Moga,Dharamkot,Wheat,Other,02/05/2021,1975,1975,1975
141,1619976905,Punjab,Mohali,Banur,Potato,Other,02/05/2021,500,700,700
142,1619976905,Punjab,Mohali,Banur (Kheragaju),Pumpkin,Other,02/05/2021,800,1000,1000
143,1619976905,Punjab,Mohali,Banur (Kheragaju),Wheat,147 Average,02/05/2021,1975,1975,1975
144,1619976905,Punjab,Muktsar,Bariwala,Wheat,Other,02/05/2021,1975,1975,1975
145,1619976905,Punjab,Sangrur,Bhawanigarh,Wheat,Other,02/05/2021,1975,1975,1975
146,1619976905,Punjab,Tarntaran,Patti,Apple,Other,02/05/2021,9000,10000,9500
147,1619976905,Punjab,Tarntaran,Patti,Banana,Other,02/05/2021,1400,1700,1500
148,1619976905,Punjab,Tarntaran,Patti,Bitter gourd,Other,02/05/2021,2000,2500,2200
149,1619976905,Punjab,Tarntaran,Patti,Brinjal,Other,02/05/2021,800,1000,900
150,1619976905,Punjab,Tarntaran,Patti,Capsicum,Other,02/05/2021,500,600,600
151,1619976905,Punjab,Tarntaran,Patti,Cauliflower,Other,02/05/2021,1400,1800,1600
152,1619976905,Punjab,Tarntaran,Patti,Coriander(Leaves),Other,02/05/2021,500,600,600
153,1619976905,Punjab,Tarntaran,Patti,Cucumbar(Kheera),Other,02/05/2021,500,600,500
154,1619976905,Punjab,Tarntaran,Patti,Garlic,Other,02/05/2021,3000,5000,4000
155,1619976905,Punjab,Tarntaran,Patti,Ginger(Dry),Other,02/05/2021,2500,3000,2700
156,1619976905,Punjab,Tarntaran,Patti,Grapes,Other,02/05/2021,5000,6000,5500
157,1619976905,Punjab,Tarntaran,Patti,Green Chilli,Other,02/05/2021,1500,2000,1800
158,1619976905,Punjab,Tarntaran,Patti,Karbuja(Musk Melon),Other,02/05/2021,1400,1700,1500
159,1619976905,Punjab,Tarntaran,Patti,Little gourd (Kundru),Other,02/05/2021,1000,1500,1200
160,1619976905,Punjab,Tarntaran,Patti,Onion,Other,02/05/2021,1000,1500,1300
161,1619976905,Punjab,Tarntaran,Patti,Papaya,Other,02/05/2021,1800,2300,2000
162,1619976905,Punjab,Tarntaran,Patti,Potato,Other,02/05/2021,500,700,600
163,1619976905,Punjab,Tarntaran,Patti,Pumpkin,Other,02/05/2021,400,700,500
164,1619976905,Punjab,Tarntaran,Patti,Raddish,Other,02/05/2021,700,800,800
165,1619976905,Punjab,Tarntaran,Patti,Tomato,Other,02/05/2021,1000,1800,1400
166,1619976905,Punjab,Tarntaran,Patti,Water Melon,Other,02/05/2021,500,700,600
167,1619976905,Punjab,Tarntaran,Patti,Wheat,147 Average,02/05/2021,1975,1975,1975
168,1619976905,Tamil Nadu,Coimbatore,Madathukulam,Coconut,Coconut,02/05/2021,2500,2700,2600
169,1619976905,Tamil Nadu,Coimbatore,Madathukulam,Paddy(Dhan)(Common),Other,02/05/2021,1750,1775,1765
170,1619976905,Tripura,Dhalai,Chowmanu,Bhindi(Ladies Finger),Bhindi,02/05/2021,6000,7000,6500
171,1619976905,Tripura,Dhalai,Chowmanu,Cowpea(Veg),Cowpea (Veg),02/05/2021,4000,5000,4500
